song_x,year_x,artist_x,genre_x,video_length,scene_count,frame_count,mot_int_mean,mot_int_std,lighting_met,light_mean,sat_met,sat_mean,col_en,colness,most_predominant_topic
rock-this-party,2006,bob-sinclar,Electronic,217,123,5450,0.156393344,0.089838021,-2458.612661,72.52426329,-288137.3565,123.7243136,224.2751693,32.95157761,topic_10
hey,2016,fais,Electronic,247,130,5951,0.188137013,0.144539991,286269.1082,95.21032228,-894189.0484,140.1498577,711.3463106,30.82112362,topic_23
i-wanna-know,2016,alesso,Electronic,278,1,6676,0.104434497,0.064199727,367110,41.98107639,0,191.4636068,412.5041132,0,topic_12
club-bizarre,2011,brooklyn-bounce,Electronic,226,191,5657,0.236152246,0.091329174,373134.0083,81.96047993,-160569.7631,166.8237204,370.0024198,55.61793486,topic_29
see-her-out,2016,francis-and-the-lights,Electronic,215,4,5171,0.046354462,0.039867515,-890452.3195,41.93203266,-1508595.942,130.7767365,139.6399991,9.691176968,topic_10
the-spark,2014,afrojack,Electronic,243,110,5839,0.127486409,0.071061292,-339817.0954,63.89353894,-1456069.914,149.3319573,252.7554992,22.71268785,topic_18
do-or-die-remix,2014,afrojack,Electronic,239,232,5997,0.260056039,0.130690585,45072.06403,95.02534881,-301815.4687,169.2942721,574.9426394,34.33474826,topic_14
fritz-love-my-tits,2018,e-rotic,Electronic,161,94,4847,0.152288994,0.100485221,845915.5117,142.7702353,2081198.388,210.3275175,695.0114651,111.1334495,topic_13
the-joker,2004,fatboy-slim,Electronic,220,73,5520,0.164858513,0.090982488,491116.7449,115.7107736,332794.6895,144.1763356,375.6935819,50.05935191,topic_12
zero-gravity,2015,borgeous,Electronic,199,118,4800,0.112039677,0.084374995,-735894.5192,82.53515074,-3655.856042,185.6744883,272.9020508,21.3257092,topic_11
secular-haze,2013,ghost,Electronic,319,26,7658,0.098643967,0.074286165,-601981.4855,104.4540189,-126401.1145,152.3580881,367.3357851,58.51403286,topic_7
open-wide,2014,calvin-harris,Electronic,222,157,5331,0.168503396,0.102666779,136683.1062,83.98397627,34862.31608,120.7957498,223.416784,52.50703624,topic_18
thinking-about-you,2012,calvin-harris,Electronic,276,103,6629,0.106308987,0.07889681,-291377.1272,64.3679072,-1269902.892,127.8766211,,19.87740895,topic_29
the-prime-time-of-your-life,2005,daft-punk,Electronic,245,66,6129,0.093584214,0.092559439,-544656.2785,100.274215,-205022.2111,140.9511199,500.9906908,46.84030757,topic_18
california,2011,ema,Electronic,275,70,6623,0.183566615,0.093864275,1381757.995,101.9509806,-1264122.634,182.4293281,1029.6848,24.85038919,topic_5
when-love-takes-over,2009,david-guetta,Electronic,192,167,4819,0.315019439,0.127996354,681055.9226,99.46595363,-314629.9064,192.7687016,547.5341627,32.01781611,topic_18
seven,2009,fever-ray,Electronic,220,48,5521,0.107332206,0.054581185,-787181.3481,45.97149886,-1330133.598,167.3992929,265.1685139,7.728447841,topic_20
come-alive,2014,chromeo,Electronic,259,96,6225,0.11755191,0.064492958,57687.58426,60.04076969,-1419337.675,125.5957853,200.2179031,19.26190915,topic_29
black-cherry,2003,goldfrapp,Electronic,304,57,7611,0.027153786,0.028306384,-920635.4429,54.05547599,-602815.7698,127.4237147,131.2152781,37.43667594,topic_13
deja-vu,2014,cibo-matto,Electronic,256,50,6163,0.111358207,0.098648992,1922215.698,145.515142,564313.9932,152.7055378,1350.383345,46.54862803,topic_5
everybody-everybody,1990,black-box,Electronic,254,99,7622,0.241239454,0.124794139,1206225.193,88.76880011,-341923.8974,147.6670402,555.2796229,19.45287138,topic_23
